user_loc,fr_loc,scaled_sci,sci_ranked,migrants_from_fr,gdp_diff,population_diff,population_diff_ranked,literacy_dif,internet_diff,hci_diff,distance,trade,trade_ranked
NO,GF,952,21602,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,GH,2960,12278,2042,79532.15341,25069960,11607,N/A,58.47344868,0.325044751,6116.863698,N/A,N/A
NO,GM,22987,3784,1248,81021.9532,3000190,25087,N/A,76.52114686,0.365241974,5630.012909,N/A,N/A
NO,GN,1676,16540,285,80751.15608,7423350,19785,N/A,84.95758053,0.399452239,6021.62466,N/A,N/A
NO,GP,1298,18746,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,GQ,2219,14310,N/A,71590.26976,3991910,23863,N/A,70.11760134,N/A,6247.670098,N/A,N/A
NO,GR,15331,4982,2443,61410.16056,5368426,21949,N/A,26.46463065,0.073728978,2603.963461,957.957,336
NO,GT,536,27146,479,77261.57321,11256130,16603,N/A,55.65455222,0.311763614,9216.496371,N/A,N/A
NO,GU,2542,13344,N/A,46021.90343,5180602,22199,N/A,15.85213574,N/A,N/A,N/A,N/A
NO,GW,3424,11344,58,80956.49565,3426974,24555,N/A,92.42709215,N/A,5768.686897,N/A,N/A
NO,GY,710,24418,93,76755.46338,4565130,23083,N/A,59.03176451,0.274191797,8192.758814,N/A,N/A
NO,HK,2974,12248,1096,33191.57824,2159504,26403,N/A,6.94165665,0.053183198,8591.925008,158.886,1117
NO,HN,477,28196,124,79228.68882,4398221,23325,N/A,64.22123766,0.288228899,9093.160865,N/A,N/A
NO,HR,17859,4506,3670,66814.27419,1280396,27973,N/A,29.26140926,0.039169192,1607.076692,58.79,1726
NO,HT,339,30772,43,80866.12355,5915181,21411,N/A,84.03149772,0.32374686,7848.025037,N/A,N/A
NO,HU,9229,6708,4243,65583.69281,4422053,23287,N/A,19.60705418,0.063470244,1482.10599,16.028,2770
NO,ID,331,30928,1649,77840.61915,265277672,817,N/A,64.02179505,0.230577588,10931.68634,0.9,6064
NO,IE,14942,5072,1191,3113.23761,406452,29859,N/A,12.24359424,0.045140505,1265.828069,153.696,1138
NO,IM,11147,6016,N/A,N/A,5263312,22083,N/A,N/A,N/A,N/A,N/A,N/A
NO,IN,430,29094,12891,79728.60257,1361069858,149,N/A,64.3576013,0.28373903,5986.066336,110.526,1326
NO,IS,342344,686,8910,8765.76134,4986583,22423,N/A,1.89759989,0.025103748,1747.957313,42.196,1998
NO,IT,5973,8466,4276,47214.38041,54949500,6145,N/A,33.2802543,0.015654445,2008.793885,861.929,361
NO,JE,14787,5114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,JM,1752,16164,169,76380.22871,2399617,26019,N/A,41.28553425,0.229262888,8151.020622,N/A,N/A
NO,JO,2557,13304,445,77492.67679,4753798,22803,N/A,29.56728687,0.221604645,3620.913886,N/A,N/A
NO,JP,1524,17346,1501,42575.04201,120917035,2621,N/A,4.63105406,0.07217437,8409.249769,367.726,679
NO,KE,5007,9356,2099,80026.47877,47226077,7155,N/A,78.53050109,0.226348758,7170.626506,N/A,N/A
NO,KG,1030,20890,204,80426.32541,1109004,28307,N/A,58.15856354,0.174988627,4596.283695,0.159,6535
NO,KH,740,24090,434,80222.33886,11138646,16691,N/A,63.45732276,0.277849972,9125.102457,97.3,1395
NO,KI,974,21374,N/A,80036.20928,5230290,22145,N/A,81.77578312,0.297819346,13029.67294,N/A,N/A
NO,KM,194,33404,N/A,80318.51026,4497010,23193,N/A,87.87943101,0.367584705,8470.199108,N/A,N/A
NO,KR,1203,19430,8059,48394.20042,46361202,7293,N/A,1.28817942,0.066010237,7723.5246,100.8,1377
NO,KW,2440,13626,426,47740.08365,1140813,28247,N/A,1.64238803,0.204274595,4390.993751,N/A,N/A
NO,KY,9158,6736,N/A,3742.82144,5282948,22055,N/A,15.28990805,N/A,8276.456671,N/A,N/A
NO,KZ,880,22324,964,71921.86417,13166034,15709,N/A,19.93085307,0.008525551,3794.818288,N/A,N/A
NO,LA,660,25142,107,79191.97904,1821559,27039,N/A,70.84716622,0.311719417,8387.95358,N/A,N/A
NO,LB,9380,6652,2004,73709.6623,1507817,27609,N/A,18.17682641,0.243898868,3409.604808,N/A,N/A
NO,LC,1873,15594,N/A,70376.57656,5165106,22217,N/A,45.54235652,0.179948091,7647.540955,N/A,N/A
NO,LK,3838,10692,9989,77653.89845,16455104,14259,N/A,62.2442534,0.175164282,8188.966729,N/A,N/A
NO,LR,8175,7166,1006,81057.14339,410522,29849,N/A,88.37312158,0.4509646,6228.906482,N/A,N/A
NO,LS,256,32354,N/A,80512.58181,3222628,24793,N/A,66.56979797,0.370042324,10040.20727,N/A,N/A
NO,LT,144552,1142,38708,62653.8482,2561052,25797,N/A,18.74234479,0.041839599,1047.387758,13.228,2926
NO,LU,16538,4758,144,34919.79553,4728000,22835,N/A,1.00535902,0.076166272,1183.810061,47.307,1907
NO,LV,71288,1754,10389,63929.18526,3435107,24539,N/A,16.2435243,0.030181408,842.3242864,21.319,2543
NO,LY,1140,19972,571,73857.34332,1429556,27735,N/A,74.59868068,N/A,3027.661481,N/A,N/A
NO,MA,1383,18218,5970,78512.26494,31123873,10031,N/A,34.59538929,0.275993854,3150.002169,18.501,2655
NO,MD,6413,8160,828,77500.46601,2690259,25565,N/A,20.23308141,0.186773896,1857.221148,N/A,N/A
NO,ME,20205,4146,435,72884.37284,4725759,22839,N/A,25.08526876,0.145712614,N/A,N/A,N/A
NO,MG,1118,20160,509,81206.96424,21621411,12471,N/A,N/A,0.383042157,9367.784539,N/A,N/A
NO,MK,20217,4140,2667,75671.52297,3264437,24737,N/A,21.84077712,0.233142793,2122.673743,N/A,N/A
NO,ML,791,23400,53,80834.35541,14310135,15281,N/A,83.63696034,0.44702965,5475.236769,N/A,N/A
NO,MM,858,22562,3377,80316.28795,48697524,6991,N/A,72.73651935,0.296702325,8144.961276,N/A,N/A
NO,MN,1523,17350,150,77599.47837,2122729,26463,N/A,72.64333613,0.151225567,5858.105758,N/A,N/A
NO,MO,3067,12052,92,5474.07034,4707451,22865,N/A,13.18351223,0.005246699,8561.200985,N/A,N/A
NO,MQ,1611,16872,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,MR,520,27418,62,80133.5891,822200,28847,N/A,75.55663764,0.397943348,5111.832616,N/A,N/A
NO,MT,29850,3160,101,51600.9994,4845243,22623,N/A,15.34569022,0.060044288,2684.3497,55.058,1784
NO,MU,2218,14320,201,70526.2382,4082185,23757,N/A,40.954361,0.145264923,9854.082374,N/A,N/A
NO,MV,1907,15436,N/A,71403.84996,4816943,22691,N/A,33.17193542,N/A,8119.465653,N/A,N/A
NO,MW,1940,15278,125,81353.20658,13280851,15671,N/A,82.57543691,0.357473135,8471.941596,N/A,N/A
NO,MX,524,27362,1319,72061.0219,122227633,2581,N/A,32.50535221,0.156877756,9198.72898,19.9,2598
NO,MY,1068,20562,882,70361.23257,26601881,11131,N/A,16.21712229,0.135956168,9759.020761,25.1,2397
NO,MZ,998,21132,203,81235.50835,25018140,11625,N/A,75.583601,0.413067818,9756.067448,N/A,N/A
NO,NC,1495,17526,N/A,N/A,5060096,22347,N/A,14.3517605,N/A,15416.89433,N/A,N/A
NO,NE,1224,19278,53,81162.93858,17962819,13623,N/A,86.13328974,0.450505376,5206.383403,N/A,N/A
NO,NG,933,21794,1882,79701.73586,195615703,1653,N/A,88.88816198,0.413781673,5977.029249,N/A,N/A
NO,NI,950,21620,204,79713.91854,1197606,28147,N/A,68.49456129,0.261153817,9233.302182,N/A,N/A
NO,NL,17322,4590,9320,28686.36936,11984954,16181,N/A,3.16032239,0.034503758,915.2982834,819.017,377
NO,NO,15093544,113,N/A,0,0,31153,N/A,0,0,0,N/A,N/A
NO,NP,3179,11832,1677,80695.81392,23260814,12049,N/A,74.95409087,0.270342439,6521.077047,N/A,N/A
NO,NZ,8567,6972,680,38784.53499,430896,29797,N/A,5.54650823,0.002679169,17974.88316,126.923,1248
NO,OM,1945,15266,58,65319.57755,372910,29941,N/A,16.17196557,0.1573475,5460.335232,N/A,N/A
NO,PA,1285,18842,64,66141.89189,1101457,28323,N/A,36.4069704,0.254590452,9161.17939,N/A,N/A
NO,PE,717,24332,1599,74793.22972,27162557,10969,N/A,45.90718912,0.173919558,11047.879,N/A,N/A
NO,PF,1724,16284,N/A,N/A,5068609,22331,N/A,23.65370599,N/A,15043.98016,N/A,N/A
NO,PG,409,29472,N/A,79014.08033,3428213,24551,N/A,85.14840471,0.343762785,13348.07398,N/A,N/A
NO,PH,4912,9450,22178,78482.37325,102768719,3219,N/A,36.30284097,0.219519257,9684.115937,147.9,1156
NO,PK,2264,14176,20886,80252.1599,211217422,1151,N/A,79.25245544,0.369231254,5303.461409,2.79,4334
NO,PL,37764,2690,98236,66273.82129,32622978,9623,N/A,20.37223535,0.008312642,1061.058793,131.03,1233
NO,PR,824,22936,31,50112.5721,2154202,26415,N/A,27.61682816,N/A,7512.832268,N/A,N/A
NO,PS,7678,7414,N/A,78535.59893,662590,29213,N/A,31.1576013,0.196805835,N/A,N/A,N/A
NO,PT,11105,6038,3149,58272.89371,4921521,22501,N/A,22.56638735,0.014905334,2737.181572,103.641,1366
NO,PY,873,22404,161,75928.78995,1696740,27287,N/A,35.28184508,0.241028845,11305.58905,N/A,N/A
NO,QA,4863,9494,65,12940.68113,2515829,25865,N/A,1.03124787,0.133709311,4955.981542,N/A,N/A
NO,RE,1008,21044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,RO,15502,4946,13017,69325.86908,14008648,15405,N/A,32.61031912,0.174124718,N/A,33.205,2176
NO,RS,24320,3626,4414,74488.27358,1597079,27437,N/A,26.02676577,0.009049356,N/A,N/A,N/A
NO,RW,4786,9574,666,80951.84743,7279054,19913,N/A,74.58996868,0.391622811,7079.507376,N/A,N/A
NO,SA,2623,13124,647,58395.50211,28920632,10563,N/A,2.18200169,0.187781811,4799.720795,161.9,1103
NO,SB,619,25762,N/A,79596.77487,4678073,22905,N/A,84.43337224,0.337675124,13848.48705,N/A,N/A
NO,SC,4062,10386,N/A,65343.64069,5250271,22109,N/A,37.58779006,0.13797766,8165.417119,N/A,N/A
NO,SE,154159,1098,53005,27145.40518,4937557,22487,N/A,3.35133433,0.033975125,417.1744488,4656.713,84
NO,SG,6694,7962,811,15545.68617,355673,29973,N/A,11.90533341,0.118548811,10056.7347,450.321,597
NO,SI,11386,5924,405,55679.92347,3259950,24747,N/A,17.47217494,0.020153463,1559.744306,54.933,1785
NO,SK,10133,6376,4135,62306.34936,106177,30737,N/A,14.73193378,0.088484704,1370.520443,13.545,2906
NO,SL,4356,10040,556,81200.47439,2465319,25921,N/A,83.12067087,0.415248632,6060.344564,N/A,N/A
NO,SN,1432,17902,268,80268.87456,10948468,16821,N/A,66.71447763,0.347471505,5532.701956,N/A,N/A
NO,SR,830,22886,41,75730.7425,4766524,22777,N/A,47.41242733,N/A,8123.765864,N/A,N/A
NO,ST,1063,20602,N/A,79733.32859,5132840,22253,N/A,66.4263721,N/A,6649.346092,N/A,N/A
NO,SV,534,27184,218,77666.80612,1105657,28319,N/A,62.5368724,0.223549127,9237.544977,N/A,N/A
NO,SZ,1561,17140,N/A,77588.49146,4199766,23583,N/A,66.0576013,0.398993939,9770.021662,N/A,N/A
NO,TD,1592,16958,24,81008.31569,10598980,17045,N/A,89.85760318,0.469505846,5321.054624,N/A,N/A
NO,TG,924,21874,120,81055.50993,2734470,25501,N/A,83.99737633,0.347742081,6029.434941,N/A,N/A
NO,TH,4259,10130,19437,74438.98995,64277686,5309,N/A,43.46567196,0.151673436,8675.566308,231.4,916
NO,TJ,1025,20936,110,80907.84404,3973122,23889,N/A,74.3976013,0.226408541,4631.913239,N/A,N/A
NO,TL,482,28120,N/A,80497.36289,4054777,23785,N/A,68.86486957,0.315482944,N/A,N/A,N/A
NO,TN,1817,15860,1084,78295.67648,6346823,20947,N/A,40.85744624,0.258925319,2567.032718,N/A,N/A
NO,TO,830,22886,N/A,77370.45001,5243402,22117,N/A,55.10887366,0.250500679,15678.58207,N/A,N/A
NO,TR,3578,11098,12053,72364.28922,78081719,4533,N/A,31.67298362,0.143224954,2444.937623,425.615,620
NO,TT,2982,12234,375,64604.55248,3952923,23931,N/A,19.03154837,0.166208029,8001.306879,N/A,N/A
NO,TW,712,24388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8687.341953,171.7,1070
NO,TZ,2300,14072,992,80673.47096,52657567,6377,N/A,80.35760187,0.382273763,7838.215994,N/A,N/A
NO,UA,2736,12842,4562,78637.64817,39037259,8479,N/A,37.46812185,0.12615633,1628.79745,N/A,N/A
NO,UG,10195,6360,1209,80967.36781,38921698,8491,N/A,72.65107039,0.386409044,6887.891829,N/A,N/A
NO,US,4456,9926,18805,18894.44533,322891627,501,N/A,9.08271213,0.054851591,5911.160002,4204.955,96
NO,UY,1325,18572,252,64456.49546,1886162,26945,N/A,26.0352469,0.16616708,12178.04452,N/A,N/A
NO,UZ,905,22098,512,80205.38271,28232754,10729,N/A,47.65760245,N/A,4430.684711,N/A,N/A
