user_loc	fr_loc	scaled_sci
AR	SK	556
AR	SL	1284
AR	SN	2057
AR	SR	1138
AR	ST	1206
AR	SV	6714
AR	SZ	334
AR	TD	422
AR	TG	1001
AR	TH	181
AR	TJ	398
AR	TL	524
AR	TN	2355
AR	TO	318
AR	TR	526
AR	TT	1878
AR	TW	285
AR	TZ	445
AR	UA	531
AR	UG	828
AR	US	1731
AR	UY	74905
AR	UZ	229
AR	VC	734
AR	VN	154
AR	VU	155
AR	WS	299
AR	XK	519
AR	YT	276
AR	ZA	342
AR	ZM	475
AR	ZW	255
AR	NA	480
AT	AE	5111
AT	AG	4361
AT	AL	22484
AT	AM	7528
AT	AO	814
AT	AR	1504
AT	AT	9622397
AT	AU	7257
AT	AW	3761
AT	AZ	3234
AT	BA	349696
AT	BB	2568
AT	BD	772
AT	BE	16639
AT	BF	1246
AT	BG	49982
AT	BH	2636
AT	BI	1072
AT	BJ	1850
AT	BN	1114
AT	BO	808
AT	BR	1163
AT	BS	2863
AT	BT	1634
AT	BW	705
AT	BY	5861
AT	BZ	1172
AT	CA	5508
AT	CD	1150
AT	CF	968
AT	CG	1666
AT	CH	119231
AT	CI	994
AT	CL	1778
AT	CM	1771
AT	CO	1192
AT	CR	2759
AT	CV	4870
AT	CW	3551
AT	CY	17615
AT	CZ	24707
AT	DE	111647
AT	DJ	7490
AT	DK	15993
AT	DO	5207
AT	DZ	939
AT	EC	1094
AT	EE	11477
AT	EG	2880
AT	ES	9632
AT	ET	2385
AT	FI	12372
AT	FJ	1167
AT	FR	7863
AT	GA	1107
AT	GB	10991
AT	GD	3564
AT	GE	10225
AT	GF	1359
AT	GH	2971
AT	GM	19161
AT	GN	1981
AT	GP	2052
AT	GQ	2148
AT	GR	20651
AT	GT	762
AT	GU	1629
AT	GW	4422
AT	GY	486
AT	HK	2751
AT	HN	584
AT	HR	128028
AT	HT	445
AT	HU	159243
AT	ID	477
AT	IE	14360
AT	IM	8006
AT	IN	422
AT	IS	29142
AT	IT	21185
AT	JE	10343
AT	JM	2638
AT	JO	3665
AT	JP	1776
AT	KE	2672
AT	KG	2327
AT	KH	687
AT	KI	342
AT	KM	216
AT	KR	1404
AT	KW	2632
AT	KY	13458
AT	KZ	1778
AT	LA	433
AT	LB	7732
AT	LC	2615
AT	LK	1489
AT	LR	1556
AT	LS	312
AT	LT	7630
AT	LU	68256
AT	LV	12952
AT	LY	1178
AT	MA	1650
AT	MD	17383
AT	ME	76222
AT	MG	980
AT	MK	140222
AT	ML	1119
AT	MM	131
AT	MN	9167
AT	MO	2263
AT	MQ	1694
AT	MR	590
AT	MT	30429
AT	MU	2742
AT	MV	3779
AT	MW	614
AT	MX	869
AT	MY	873
AT	MZ	560
AT	NC	1527
AT	NE	805
AT	NG	2343
AT	NI	1103
AT	NL	21214
AT	NO	14258
AT	NP	1178
AT	NZ	6831
AT	OM	1955
AT	PA	1569
AT	PE	992
AT	PF	2388
AT	PG	462
AT	PH	1772
AT	PK	1525
AT	PL	18702
AT	PR	1047
AT	PS	2940
AT	PT	10643
AT	PY	1390
AT	QA	3738
AT	RE	1506
AT	RO	108822
AT	RS	259223
AT	RW	1066
AT	SA	2036
AT	SB	366
AT	SC	9146
AT	SE	19719
AT	SG	3605
AT	SI	203875
AT	SK	88098
AT	SL	2301
AT	SN	1631
AT	SR	759
AT	ST	880
AT	SV	604
AT	SZ	582
AT	TD	757
AT	TG	1675
AT	TH	1346
AT	TJ	3825
AT	TL	488
AT	TN	5487
AT	TO	1135
AT	TR	16306
AT	TT	1642
AT	TW	1192
AT	TZ	1087
AT	UA	6137
AT	UG	2777
AT	US	3386
AT	UY	1936
AT	UZ	1789
AT	VC	2678
AT	VN	382
AT	VU	800
AT	WS	557
AT	XK	129939
AT	YT	599
AT	ZA	1127
AT	ZM	775
AT	ZW	1258
AT	NA	3877
AU	AE	14937
AU	AG	4948
AU	AL	2835
AU	AM	1496
AU	AO	371
AU	AR	2174
AU	AT	7257
AU	AU	2177501
AU	AW	3364
AU	AZ	592
AU	BA	9422
AU	BB	5260
AU	BD	2574
AU	BE	5577
AU	BF	270
AU	BG	2053
AU	BH	8464
AU	BI	6592
AU	BJ	374
AU	BN	14481
AU	BO	448
AU	BR	2334
AU	BS	4280
AU	BT	63407
AU	BW	4754
AU	BY	1367
AU	BZ	1698
AU	CA	20223
AU	CD	1129
AU	CF	1548
AU	CG	624
AU	CH	13070
AU	CI	392
AU	CL	3867
AU	CM	634
AU	CO	3818
AU	CR	1552
AU	CV	910
AU	CW	3170
AU	CY	19319
AU	CZ	3381
AU	DE	7442
AU	DJ	1926
AU	DK	9959
AU	DO	538
AU	DZ	315
AU	EC	722
AU	EE	16910
AU	EG	1341
AU	ES	3985
AU	ET	4181
AU	FI	7843
AU	FJ	150017
AU	FR	5046
AU	GA	477
AU	GB	35275
AU	GD	3812
AU	GE	791
AU	GF	1139
AU	GH	2689
AU	GM	3267
AU	GN	1652
AU	GP	2197
AU	GQ	863
AU	GR	13425
AU	GT	410
AU	GU	9415
AU	GW	319
AU	GY	1294
AU	HK	28014
AU	HN	358
AU	HR	8558
AU	HT	348
AU	HU	3380
AU	ID	2158
AU	IE	66332
AU	IM	35718
AU	IN	3794
AU	IS	10134
AU	IT	7678
AU	JE	51606
AU	JM	2241
AU	JO	3172
AU	JP	5941
AU	KE	6698
AU	KG	526
AU	KH	7734
AU	KI	48957
AU	KM	289
AU	KR	6061
AU	KW	6077
AU	KY	35934
AU	KZ	571
AU	LA	4818
AU	LB	28171
AU	LC	3445
AU	LK	34353
AU	LR	13096
AU	LS	366
AU	LT	2948
AU	LU	8231
AU	LV	3061
AU	LY	441
AU	MA	609
AU	MD	627
AU	ME	7266
AU	MG	446
AU	MK	30923
AU	ML	389
AU	MM	2378
AU	MN	10992
AU	MO	20667
AU	MQ	1752
AU	MR	317
AU	MT	50735
AU	MU	31783
AU	MV	11517
AU	MW	2501
AU	MX	643
AU	MY	19004
AU	MZ	759
AU	NC	19261
AU	NE	455
AU	NG	1609
AU	NI	467
AU	NL	10661
AU	NO	10746
AU	NP	38993
AU	NZ	259471
AU	OM	5573
AU	PA	1268
AU	PE	1177
AU	PF	10054
AU	PG	40300
AU	PH	10012
AU	PK	3616
AU	PL	2046
AU	PR	1353
AU	PS	1492
AU	PT	5627
AU	PY	738
AU	QA	11584
AU	RE	3076
AU	RO	1891
AU	RS	7933
AU	RW	3358
AU	SA	3202
AU	SB	52885
AU	SC	30829
AU	SE	12054
AU	SG	46236
AU	SI	6722
AU	SK	2972
AU	SL	11117
AU	SN	462
AU	SR	1249
AU	ST	442
AU	SV	1090
AU	SZ	1692
AU	TD	741
AU	TG	773
AU	TH	5322
AU	TJ	663
AU	TL	39748
AU	TN	759
AU	TO	401646
AU	TR	1504
AU	TT	3178
AU	TW	8413
AU	TZ	1478
AU	UA	855
AU	UG	5573
AU	US	7814
AU	UY	3316
AU	UZ	649
AU	VC	3460
AU	VN	4373
AU	VU	92928
AU	WS	219731
AU	XK	2391
AU	YT	580
AU	ZA	5194
AU	ZM	2887
AU	ZW	17108
AU	NA	3354
AW	AE	4069
AW	AG	176064
AW	AL	897
AW	AM	399
AW	AO	1420
AW	AR	7495
AW	AT	3761
AW	AU	3364
AW	AW	475661706
AW	AZ	453
AW	BA	777
AW	BB	65479
AW	BD	389
AW	BE	19141
AW	BF	1015
AW	BG	2275
AW	BH	5107
AW	BI	842
AW	BJ	3035
AW	BN	2349
AW	BO	3155
AW	BR	2561
AW	BS	70646
AW	BT	346
AW	BW	681
AW	BY	860
AW	BZ	18500
AW	CA	11743
AW	CD	917
AW	CF	1176
AW	CG	1598
AW	CH	9887
AW	CI	1278
AW	CL	35761
AW	CM	1458
AW	CO	133423
AW	CR	26312
AW	CV	2781
AW	CW	20776860
AW	CY	2765
AW	CZ	1606
AW	DE	3820
AW	DJ	624
AW	DK	2256
AW	DO	241894
AW	DZ	772
AW	EC	34333
AW	EE	1352
AW	EG	709
AW	ES	21193
AW	ET	347
AW	FI	1707
AW	FJ	7027
AW	FR	3093
AW	GA	1422
AW	GB	5388
AW	GD	326805
AW	GE	532
AW	GF	131681
AW	GH	2712
AW	GM	5266
AW	GN	1126
AW	GP	156073
AW	GQ	4903
AW	GR	2195
AW	GT	3612
AW	GU	7444
AW	GW	1228
AW	GY	129843
AW	HK	2782
AW	HN	4894
AW	HR	1485
AW	HT	150597
AW	HU	1432
AW	ID	469
AW	IE	3437
AW	IM	2219
AW	IN	545
AW	IS	5843
AW	IT	4191
AW	JE	5617
AW	JM	129797
AW	JO	960
AW	JP	997
AW	KE	1209
AW	KG	173
AW	KH	409
AW	KI	507
AW	KM	809
AW	KR	430
AW	KW	2813
AW	KY	185538
AW	KZ	284
AW	LA	208
AW	LB	6654
AW	LC	112122
AW	LK	671
AW	LR	3162
AW	LS	710
AW	LT	1115
AW	LU	7082
AW	LV	3705
AW	LY	340
AW	MA	1913
AW	MD	912
AW	ME	7133
